Class,Precision,Recall,F1,Support
Claims ignorance,0.6031746031746031,0.31932773109243695,0.4175824175824176,119
Clarification,0.7236842105263158,0.5978260869565217,0.6547619047619048,92
Declining to answer,0.5447154471544715,0.46206896551724136,0.5,145
Deflection,0.29365079365079366,0.1942257217847769,0.23380726698262244,381
Dodging,0.4864516129032258,0.5339943342776204,0.5091154625253207,706
Explicit,0.554140127388535,0.7442965779467681,0.6352941176470588,1052
General,0.22093023255813954,0.09844559585492228,0.13620071684587814,386
Implicit,0.24738675958188153,0.29098360655737704,0.2674199623352166,488
Partial/half-answer,0.0,0.0,0.0,79
