Class,Precision,Recall,F1,Support
Clear Reply,0.6220053238686779,0.6663498098859315,0.643414410279945,1052
Ambivalent,0.7743871935967984,0.7588235294117647,0.7665263679128497,2040
Clear Non-Reply,0.6614906832298136,0.598314606741573,0.6283185840707964,356
